idx,smiles
83,CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
84,CCC(C)SP(=O)(OCC)SC(C)CC
85,CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl
86,CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)Cl)OC
87,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl
88,CC(C)(C)CNC(O)c1ccc(N)c(C#N)c1
89,CCC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
90,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
91,C[C@H](C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F
92,CCCCCC(C)OC(=O)COC1=C2C(=C(C=C1)Cl)C=CC=N2
93,S=P(Oc1ccc(C#N)cc1)(OCC)c2ccccc2
94,CCCC(=NOCC)C1=C(CC(CC1=O)C2CCCSC2)O
95,CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O
96,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3
97,CCSCCSP(=O)(OC)OC
98,S(c1nc(nc(n1)NC(C)C)NC)C
99,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl
100,CCN(CC)C(=O)N1CCN(CC1)C
101,S(c1nc(nc(n1)NC(C)C(C)C)NCC)C
102,CC1=NC=C(N1C)[N+](=O)[O-]
103,CCCOC(=O)C1=CC=CC=C1C(=O)OCCC
104,CCSCC1=CC=CC=C1OC(=O)NC
105,O=C(Oc1ccccc1CS(=O)(=O)CC)NC
106,O=C(Oc1ccccc1CS(=O)CC)NC
107,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F
108,CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C
109,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl
110,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N
111,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl
112,O=S(=O)(c1c(cc(OP(=O)(OC)OC)cc1)C)C
113,C1=CC(=C(C(=C1)Cl)Cl)C2=CNC=C2C#N
114,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C
115,O=P(OC)(OC)Oc1ccc(SC)c(c1)C
116,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
117,CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3
118,C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3
119,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-]
120,CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
121,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O
122,CCOCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
123,Clc1ccc(cc1)C3SC(=O)N(C(=O)NC2CCCCC2)C3C
124,CN1C(=CN=C1CO)[N+](=O)[O-]
125,CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@]34CO4)O2)O)O)C)COC(=O)C
126,[O-][N+](=O)c1cnc(n1C)C(O)(C)C
127,Clc1cc(cc(Cl)c1N)C(O)CNC(C)(C)CO
128,[O-][N+](=O)c1cnc(n1CCO)CO
129,CC(CO)c1ncc(n1C)[N+](=O)[O-]
130,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C
131,CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)N(C)C)O
132,Clc1cc(cc(c1N)C(F)(F)F)C(O)CNC(C)(C)CC
133,CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2
134,O=C(OC)/C(=C/OP(=S)(OC)OC)C
135,CC(C(=O)C1=CC=CC=C1)NC
136,O=C(SCC)N1CCCCC1
137,CCN(CC1=CN=C(C=C1)Cl)/C(=C/[N+](=O)[O-])/NC
138,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N
139,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1
140,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
141,O=C(N(CCOc1c(Cl)cc(Cl)cc1Cl)C(C)C)n2ccnc2
142,CCOC(=O)C(C)Oc1cccc(c1)Oc2cnc3cc(Cl)ccc3n2
143,O=C1CC(CC(SCC)C)CC(=O)C1\C(=N\OCC)CCC
144,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
145,O=C(Nc1nc(nc(n1)C)C)NS(=O)(=O)c2ccccc2C(=O)OC
146,CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C
